,Product,Price,Quantity,Category
0,carrefour correttore a nastro maxi 5x12 mm,1.89 € / pz,1.0 pz,articoli per la casa
1,carrefour confezione di 4 penne a sfera blu penna a sfera medio 4 pz,1.49 € / pz,1.0 pz,articoli per la casa
2,carrefour forbici punte arrotondate 17cm,2.99 € / pz,1.0 pz,articoli per la casa
3,carrefour confezione di 4 penne a sfera nero penna a sfera medio 4 pz,1.49 € / pz,1.0 pz,articoli per la casa
4,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura 5mm,1.59 € / pz,1.0 pz,articoli per la casa
5,carrefour 4 penne a sfera colori assortiti,1.49 € / pz,1.0 pz,articoli per la casa
6,carrefour 2 nastri trasparenti 25mx19mm,1.99 € / pz,1.0 pz,articoli per la casa
7,carrefour 2 colle stick 20g-20g,3.19 € / pz,1.0 pz,articoli per la casa
8,carrefour 24 matite colorate,4.89 € / pz,1.0 pz,articoli per la casa
9,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura 1r,1.59 € / pz,1.0 pz,articoli per la casa
10,carrefour temperamatite manuale metallico,1.49 € / pz,1.0 pz,articoli per la casa
11,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura q,1.59 € / pz,1.0 pz,articoli per la casa
12,carrefour 2 gomme plastica,0.99 € / pz,1.0 pz,articoli per la casa
13,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura 10mm,1.59 € / pz,1.0 pz,articoli per la casa
14,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura c,1.59 € / pz,1.0 pz,articoli per la casa
15,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura 4mm,1.59 € / pz,1.0 pz,articoli per la casa
16,carrefour correttori a nastro 3 pezzi 5mmx6m,3.49 € / pz,1.0 pz,articoli per la casa
17,staedtler mars 3 mini gomme plastic,2.99 € / pz,1.0 pz,articoli per la casa
18,pigna quaderno a5 monocromo a righe colori assortiti,1.49 € / pz,1.0 pz,articoli per la casa
19,stabilo evidenziatore - boss original - pack da 2 - giallo,3.29 € / pz,1.0 pz,articoli per la casa
20,viquel carrefour portaprogetti polypr. 25mm,3.39 € / pz,1.0 pz,articoli per la casa
21,staedtler 2 matite noris 0=2b,2.19 € / pz,1.0 pz,articoli per la casa
22,carrefour righello cm 20,0.99 € / pz,1.0 pz,articoli per la casa
