Product,Price,Category,Quantity
"Arance Valencia Italia cal. 7 1,5 kg Percorso Qualità Conad",2.65 € / Kg,Frutta e verdura,1.5 kg
Pompelmi Rossi Cal. 4/5 Cat. I,2.48 € / Kg,Frutta e verdura,
Limone Costa d'Amalfi I.G.P. Primofiore Italia cal. 5 500 g Sapori & Dintorni Conad,5.56 € / Kg,Frutta e verdura,0.5 kg
"Limoni Verdello Italia 0,500 kg Verso Natura Conad",3.96 € / Kg,Frutta e verdura,0.5 kg
Percorso Qualità Limoni Italia Cal. 4 Cat. I Rete 500g CONAD,3.96 € / Kg,Frutta e verdura,0.5 kg
Mele Golden Delicious Italia cal. 70/75 1500 g Percorso Qualità Conad,1.85 € / Kg,Frutta e verdura,1.5 kg
Mele Red Delicious Italia cal. 70/75 1500 g Percorso Qualità Conad,1.85 € / Kg,Frutta e verdura,1.5 kg
Percorso Qualità Mele Golden Delicious A. Adige Igp Cal. 85/90 Cat. I SAPORI E DINTORNI,2.58 € / Kg,Frutta e verdura,
Mele Evelina Melinda Origine italia Cal. 75/80 Cat. I Vassoio da 750g MELINDA,2.64 € / Kg,Frutta e verdura,0.75 kg
Mele Pink Lady Italia Cal. 75/80 Cat. I Vassoio 800g PINK LADY,3.72 € / Kg,Frutta e verdura,0.8 kg
BIO Banane Cal. 14/21 Cat. I Vassoio 620g VERSO NATURA CONAD REP.DOMINICANA,0.00 €/Kg,Frutta e verdura,0.62 kg
Percorso Qualità Banane Cat. I CONAD,1.98 € / Kg,Frutta e verdura,
Pesche a Polpa Gialla Italia cal. B 1 kg Percorso Qualità Conad,3.8 € / Kg,Frutta e verdura,1.0 kg
"CONAD Percorso Qualità Ciliegie Durone Anella Italia cal. 24/26 0,500 kg",10.8 € / Kg,Frutta e verdura,0.5 kg
CONAD Percorso Qualità Ciliegie Durone Ferrovia Italia Cal. 22-24 1000 g,9.90 € / Kg,Frutta e verdura,1.0 kg
Fragole Italia cal. 22mm  500 g Percorso Qualità Conad,7.5 € / Kg,Frutta e verdura,0.5 kg
Angurie Italia Cat. I,1.5 € / Kg,Frutta e verdura,
Angurie Mini Italia Cat. I,1.79 € / Kg,Frutta e verdura,
Melone Sapori & Idee Conad,3.6 € / Kg,Frutta e verdura,
Melone Retato Italia Cat. I,2.68 € / Kg,Frutta e verdura,
"Kiwi Green Light Italia cal. 85/100g 0,500 kg Verso Natura Conad",6.96 € / Kg,Frutta e verdura,0.5 kg
Kiwi Hayward Italia cal. 85/100 1000 g Percorso Qualità Conad,3.68 € / Kg,Frutta e verdura,1.0 kg
Percorso Qualità Kiwi Hayward Italia Cal. 27 Cat. I CONAD,3.98 € / Kg,Frutta e verdura,
Lime Cat. I Vassoio 300g SAPORI E IDEE,9.9 € / Kg,Frutta e verdura,0.3 kg
Lime Cat. I Vassoio 300g SAPORI E IDEE BRASILE,14.8 € / Kg,Frutta e verdura,0.3 kg
Avocado Hass Cat. I SAPORI E IDEE CILE,0.01 € / Kg,Frutta e verdura,
Avocado Hass S&I Cat. I Vassoio 200g SAPORI E IDEE,24.90 € / Kg,Frutta e verdura,0.2 kg
Mirtilli Cat. I Vaschetta 125g CONAD SPAGNA,23.84 € / Kg,Frutta e verdura,0.125 kg
Mirtilli Cile 152 g Conad,19.84 € / Kg,Frutta e verdura,0.152 kg
Passion Fruit Cat. I Vassoio 200g SAPORI E IDEE,14.90 € / Kg,Frutta e verdura,0.2 kg
SAPORI & IDEE CONAD Percorso Qualità Ananas Extra Dolce Costa Rica,2.49 € / Kg,Frutta e verdura,
Lamponi Marocco 125 g Conad,0.02 € / Kg,Frutta e verdura,0.125 kg
Ananas a Fette 250 g Conad,15.9 € / Kg,Frutta e verdura,0.25 kg
LIM. I 3 ITA S&D IGP.AMALFI,4.5 € / Kg,Frutta e verdura,
MELE COSMIC CRISP 80-85 ITA vs.900g,3.31 € / Kg,Frutta e verdura,0.9 kg
PINOVA I 85-90 ITA cpq pd,2.48 € / Kg,Frutta e verdura,
COSCIA I 45/50 CHL cs.500g,5.96 € / Kg,Frutta e verdura,0.5 kg
BANANE I 14  PER 620g BIOLOGICO VNB,4.81 € / Kg,Frutta e verdura,0.62 kg
PESCA B. I ITA 500g cal.B(saturnia),7.96 € / Kg,Frutta e verdura,0.5 kg
P.NOCE BIANCA B ESP 500g(SATURNIA),9.96 € / Kg,Frutta e verdura,0.5 kg
PESCA GIALLA I  B ESP cs.1kg,4.48 € / Kg,Frutta e verdura,1.0 kg
PESCA GIALLA I  B ESP cs.750g,9.96 € / Kg,Frutta e verdura,0.75 kg
MIRTILLI MAR 300g (SECCHIELLO),16.60 € / Kg,Frutta e verdura,0.3 kg
KIWI GOLD I 125-135 NZL 500g ZESPRI,9.96 € / Kg,Frutta e verdura,0.5 kg
SUCCO DI MELA MELAVI  bott. 1lt.,2.69 € / L,Frutta e verdura,
Arachidi 250 g Conad,9.96 € / Kg,Frutta e verdura,0.25 kg
Arachidi 500 g Conad,7.78 € / Kg,Frutta e verdura,0.5 kg
Noci con Guscio Biologiche origine non UE 250 g Verso Natura Bio Conad,13.60 € / Kg,Frutta e verdura,0.25 kg
Noci di Sorrento 350 g Sapori & Dintorni Conad,14.00 € / Kg,Frutta e verdura,0.35 kg
Noci Jumbo California 500 g Conad,7.18 € / Kg,Frutta e verdura,0.5 kg
Noci Jumbo Cile 500 g Conad,7.18 € / Kg,Frutta e verdura,0.5 kg
Pistacchi 200 g Conad,25.75 € / Kg,Frutta e verdura,0.2 kg
Pistacchi Biologici 150 g Verso Natura Conad,36.60 € / Kg,Frutta e verdura,0.15 kg
Pistacchi Tostati e Salati 150 g Conad,29.67 € / Kg,Frutta e verdura,0.15 kg
Cameo Snack Friends Pistacchi 120 g,33.25 € / Kg,Frutta e verdura,0.12 kg
"Noberasco € 0,99 Pistacchio Tostato Salato 40 g",24.75 € / Kg,Frutta e verdura,0.04 kg
Noberasco che arachide! Arachidi Tostate in Guscio 300 g,12.17 € / Kg,Frutta e verdura,0.3 kg
Noberasco che noce! 500 g,11.40 € / Kg,Frutta e verdura,0.5 kg
Ventura Big Blond Arachidi 250 g,15.16 € / Kg,Frutta e verdura,0.25 kg
Ventura Misto in Guscio 350 g,11.37 € / Kg,Frutta e verdura,0.35 kg
Albicocche senza nocciolo essiccate g150 Verso Natura Bio Conad,19.67 € / Kg,Frutta e verdura,
Prugne con Nocciolo Extra Large 250 g Conad,11.96 € / Kg,Frutta e verdura,0.25 kg
Prugne con Nocciolo Extra Large 500 g Conad,12.50 € / Kg,Frutta e verdura,0.5 kg
Prugne Denocciolate 250 g Conad,13.00 € / Kg,Frutta e verdura,0.25 kg
Prugne Denocciolate 500 g Conad,14.50 € / Kg,Frutta e verdura,0.5 kg
Uva Sultanina 250 g Conad,6.20 € / Kg,Frutta e verdura,0.25 kg
Uva Sultanina g 200 Verso Natura Bio Conad,9.95 € / Kg,Frutta e verdura,
Noberasco Frutta Selezionata Zenzero 250 g,14.2 € / Kg,Frutta e verdura,0.25 kg
Econoce Zenzero Candito a Cubetti Biologico 100 g,27.90 € / Kg,Frutta e verdura,0.1 kg
Melinda Melamangio 100% Mela Essiccata Rondelle 20 g,57.50 € / Kg,Frutta e verdura,0.02 kg
"Noberasco € 0,99 Banana Chips 100 g",9.90 € / Kg,Frutta e verdura,0.1 kg
"Noberasco € 0,99 Goji Berry 30 g",33.00 € / Kg,Frutta e verdura,0.03 kg
"Noberasco € 0,99 Mirtilli Rossi 50 g",19.80 € / Kg,Frutta e verdura,0.05 kg
"Noberasco € 0,99 Misto Tropicale 80 g",12.38 € / Kg,Frutta e verdura,0.08 kg
"Noberasco € 0,99 Uva Sultanina 150 g",6.60 € / Kg,Frutta e verdura,0.15 kg
"Noberasco € 0,99 Zenzero 70 g",14.14 € / Kg,Frutta e verdura,0.07 kg
Noberasco Bio CrokkaMela Spicchi di Mele 20 g,80.00 € / Kg,Frutta e verdura,0.02 kg
Noberasco Cocco Bello! 100 g,27.00 € / Kg,Frutta e verdura,0.1 kg
Noberasco Viva i Datteri con Nocciolo 200 g,24.95 € / Kg,Frutta e verdura,0.2 kg
Noberasco Viva il Fico 200 g,14.95 € / Kg,Frutta e verdura,0.2 kg
Noberasco Viva l'Albicocca Denocciolate 200 g,24.75 € / Kg,Frutta e verdura,0.2 kg
Noberasco Viva la Macedonia 200 g,16.95 € / Kg,Frutta e verdura,0.2 kg
Noberasco Viva la Prugna Denocciolate 400 g,22.12 € / Kg,Frutta e verdura,0.4 kg
Semplicemente Frutta Ananas Essiccato 25 g,39.60 € / Kg,Frutta e verdura,0.025 kg
Sunsweet Ones Una ad Una Prugne California Denocciolate 200 g,24.95 € / Kg,Frutta e verdura,0.2 kg
Sunsweet Prugne California premium denocciolate 250 g,27.16 € / Kg,Frutta e verdura,0.25 kg
Sunsweet Prugne California premium denocciolate 500 g,18.98 € / Kg,Frutta e verdura,0.5 kg
Ventura I nostri Datteri di Tunisi Deglet Nour 250 g,7.92 € / Kg,Frutta e verdura,0.25 kg
Ventura I nostri Fichi Pulled 250 g,17.92 € / Kg,Frutta e verdura,0.25 kg
Ventura Le Nostre Dolci Bontà Mirtilli 100 g,39.80 € / Kg,Frutta e verdura,0.1 kg
Anacardi Biologici 30 g Verso Natura Bio Conad,33.00 € / Kg,Frutta e verdura,0.03 kg
Anacardi Tostati e Salati 200 g Conad,26.00 € / Kg,Frutta e verdura,0.2 kg
Arachidi Jumbo Tostate e Salate 200 g Conad,9.95 € / Kg,Frutta e verdura,0.2 kg
Arachidi Ricoperte Gusto Paprika 150 g Conad,13.27 € / Kg,Frutta e verdura,0.15 kg
Arachidi Tostate e Salate 300 g Conad,7.17 € / Kg,Frutta e verdura,0.3 kg
"Cranberries, Prugne, Mandorle e Nocciole 40 g Conad",24.75 € / Kg,Frutta e verdura,0.04 kg
Mandorle di Puglia Sgusciate 80 g Sapori & Dintorni Conad,34.88 € / Kg,Frutta e verdura,0.08 kg
Mandorle Pelate 100 g Conad,20.50 € / Kg,Frutta e verdura,0.1 kg
Mandorle Pelate 70g Verso Natura Bio Conad,30.71 € / Kg,Frutta e verdura,0.07 kg
Mandorle Sgusciate 100 g Conad,19.80 € / Kg,Frutta e verdura,0.1 kg
Mandorle Sgusciate 250 g Conad,15.96 € / Kg,Frutta e verdura,0.25 kg
Mandorle Sgusciate 400 g Conad,14.98 € / Kg,Frutta e verdura,0.4 kg
Mandorle Sgusciate 70g Verso Natura Bio Conad,28.43 € / Kg,Frutta e verdura,0.07 kg
Mandorle Tostate e Salate 150 g Conad,26.33 € / Kg,Frutta e verdura,0.15 kg
"Mandorle, Anacardi, Ananas e Cranberries 40 g Conad",24.75 € / Kg,Frutta e verdura,0.04 kg
"Mandorle, Anacardi, Uvetta e Zenzero 40 g Conad",24.75 € / Kg,Frutta e verdura,0.04 kg
"Mix Arachidi, Anacardi, Mandorle e Nocciole Tostato e Salato 300 g Conad",15.97 € / Kg,Frutta e verdura,0.3 kg
"Mix Croccante semi di zucca, semi di girasole, anacardi, noci, mandorle pelate 250 g Conad",15.80 € / Kg,Frutta e verdura,0.25 kg
"Mix Croccante semi di zucca, semi di girasole, anacardi, noci, mandorle pelate 400 g Conad",14.75 € / Kg,Frutta e verdura,0.4 kg
Mix Dinamico 40 g Verso Natura Bio Conad,24.75 € / Kg,Frutta e verdura,0.04 kg
