,Esselunga,Carrefour,Conad,Esselunga price,Carrefour price,Conad price,Esselunga category,Carrefour category,Conad category,Quantity
0,,carrefour correttore a nastro maxi 5x12 mm,,,1.89 € / pz,,,articoli per la casa,,1.0 pz
1,,carrefour confezione di 4 penne a sfera blu penna a sfera medio 4 pz,,,1.49 € / pz,,,articoli per la casa,,1.0 pz
2,,carrefour forbici punte arrotondate 17cm,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
3,,carrefour confezione di 4 penne a sfera nero penna a sfera medio 4 pz,,,1.49 € / pz,,,articoli per la casa,,1.0 pz
4,,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura 5mm,,,1.59 € / pz,,,articoli per la casa,,1.0 pz
5,,carrefour 4 penne a sfera colori assortiti,,,1.49 € / pz,,,articoli per la casa,,1.0 pz
6,,carrefour 2 nastri trasparenti 25mx19mm,,,1.99 € / pz,,,articoli per la casa,,1.0 pz
7,,carrefour 2 colle stick 20g-20g,,,3.19 € / pz,,,articoli per la casa,,1.0 pz
8,,carrefour 24 matite colorate,,,4.89 € / pz,,,articoli per la casa,,1.0 pz
9,,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura 1r,,,1.59 € / pz,,,articoli per la casa,,1.0 pz
10,,carrefour temperamatite manuale metallico,,,1.49 € / pz,,,articoli per la casa,,1.0 pz
11,,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura q,,,1.59 € / pz,,,articoli per la casa,,1.0 pz
12,,carrefour 2 gomme plastica,,,0.99 € / pz,,,articoli per la casa,,1.0 pz
13,,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura 10mm,,,1.59 € / pz,,,articoli per la casa,,1.0 pz
14,,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura c,,,1.59 € / pz,,,articoli per la casa,,1.0 pz
15,,carrefour quaderno a4 punto metallico con copertina in cartoncino e rigatura 4mm,,,1.59 € / pz,,,articoli per la casa,,1.0 pz
16,,carrefour correttori a nastro 3 pezzi 5mmx6m,,,3.49 € / pz,,,articoli per la casa,,1.0 pz
17,,staedtler mars 3 mini gomme plastic,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
18,,pigna quaderno a5 monocromo a righe colori assortiti,,,1.49 € / pz,,,articoli per la casa,,1.0 pz
19,,stabilo evidenziatore - boss original - pack da 2 - giallo,,,3.29 € / pz,,,articoli per la casa,,1.0 pz
20,,viquel carrefour portaprogetti polypr. 25mm,,,3.39 € / pz,,,articoli per la casa,,1.0 pz
21,,staedtler 2 matite noris 0=2b,,,2.19 € / pz,,,articoli per la casa,,1.0 pz
22,,carrefour righello cm 20,,,0.99 € / pz,,,articoli per la casa,,1.0 pz
23,,fila giotto stilnovo 36 pastelli colorati,,,13.99 € / pz,,,articoli per la casa,,1.0 pz
24,,balmar 2000 copertina per quaderno a4 rosso laccato 180μm,,,1.69 € / pz,,,articoli per la casa,,1.0 pz
25,,pilot 3800268 penna a sfera blu medio 6 pz,,,11.50 € / pz,,,articoli per la casa,,1.0 pz
26,,carrefour 10+10pz pile aa stilo,,,8.79 € / pz,,,articoli per la casa,,1.0 pz
27,,"carrefour adattatore con spina 10a 2p+t e presa 10-16a 2p+t (standard italiano 10a e tedesco 16a con terra laterale), imq, ce",,,2.39 € / pz,,,articoli per la casa,,1.0 pz
28,,pigna quaderno monocromo a4 quadretti 5mm per tutte le classi colori assortiti,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
29,,blasetti colorclub ppl a4 quaderno a spirale 1r,,,3.19 € / pz,,,articoli per la casa,,1.0 pz
30,,carrefour simpl set padelle 20-24-28 cm antiaderente,,,14.90 € / pz,,,articoli per la casa,,1.0 pz
31,,save up led goccia 75w calda e27 3pz,,,8.49 € / pz,,,articoli per la casa,,1.0 pz
32,,pigna quaderno monocromo a4 righe classiche per medie/superiori colori assortiti,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
33,,pigna quaderno monocromo a4 quadretti 4mm con margini per elementari/medie colori assortiti,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
34,,pigna quaderno monocromo a4 righe c 4a/5a elementare colori assortiti,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
35,,pigna quaderno monocromo a4 righe b 3a elementare colori assortiti,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
36,,paperdream quaderno a spirale animal friends a4 rigatura 5m,,,3.99 € / pz,,,articoli per la casa,,1.0 pz
37,,paperdream quaderno a spirale animal friends a5 rigatura 5m,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
38,,paperdream maxi quaderno animal friends a4 100gr rigatura 1r,,,2.49 € / pz,,,articoli per la casa,,1.0 pz
39,,paperdream quaderno a spirale animal friends a4 rigatura 1r,,,3.99 € / pz,,,articoli per la casa,,1.0 pz
40,,aeternum casseruola 2 manici madame petravera 20 cm,,,28.90 € / pz,,,articoli per la casa,,1.0 pz
41,,carrefour home bistecchiera quadrata 28x28 cm per induzione con rivestimento effetto pietra,,,26.90 € / pz,,,articoli per la casa,,1.0 pz
42,,oxford quaderno spiralato favorit a4 neon 5mm,,,5.99 € / pz,,,articoli per la casa,,1.0 pz
43,,"beurer ks 25 bilancia digitale da cucina con ciotola, nero, 22 x 15 x 5 cm",,,28.90 € / pz,,,articoli per la casa,,1.0 pz
44,,pigna quaderno monocromo a4 quadretti 4mm per elementari/medie colori assortiti,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
45,,pigna quaderno monocromo a4 quadrettoni 10mm 1a elementare colori assortiti,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
46,,pigna quaderno monocromo a4 righe a 1a/2a elementare colori assortiti,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
47,,pattex millechiodi original blister 100g,,,6.99 € / pz,,,articoli per la casa,,1.0 pz
48,,so.di.fer forbici multifunzione da 210mm,,,5.99 € / pz,,,articoli per la casa,,1.0 pz
49,,bostik superchiaro 50 g,,,4.69 € / pz,,,articoli per la casa,,1.0 pz
50,,loctite kintsuglue bianco 3 x 5 g,,,6.99 € / pz,,,articoli per la casa,,1.0 pz
51,,carrefour 65 strumenti + borsa,,,34.90 € / pz,,,articoli per la casa,,1.0 pz
52,,so.di.fer spazzola a mano modello spid,,,3.99 € / pz,,,articoli per la casa,,1.0 pz
53,,so.di.fer cutter con lama a settori da 18mm con corpo in plastica,,,3.99 € / pz,,,articoli per la casa,,1.0 pz
54,,so.di.fer cacciavite plus pozidrive pz15x080,,,4.29 € / pz,,,articoli per la casa,,1.0 pz
55,,so.di.fer serie di 8 chiavi combinate in acciaio al carbonio,,,10.90 € / pz,,,articoli per la casa,,1.0 pz
56,,so.di.fer cutter con 3 lame a settori da 18mm interne con corpo in plastica,,,6.29 € / pz,,,articoli per la casa,,1.0 pz
57,,so.di.fer cutter con lama a settori da 9mm interna con corpo in plastica,,,3.99 € / pz,,,articoli per la casa,,1.0 pz
58,,so.di.fer cacciavite di precisione per viti con impronta a taglio e a croce phillips,,,4.49 € / pz,,,articoli per la casa,,1.0 pz
59,,so.di.fer pinza grip autobloccante regolabile in acciaio da 250mm,,,6.99 € / pz,,,articoli per la casa,,1.0 pz
60,,so.di.fer forbice plus elet inox mm145,,,10.50 € / pz,,,articoli per la casa,,1.0 pz
61,,"so.di.fer raschietto multiuso in plastica da 140mm, con lama",,,2.49 € / pz,,,articoli per la casa,,1.0 pz
62,,so.di.fer flessometro bicolore 5mt,,,9.99 € / pz,,,articoli per la casa,,1.0 pz
63,,so.di.fer guanto in poliestere puntinato in pvc,,,2.19 € / pz,,,articoli per la casa,,1.0 pz
64,,so.di.fer martello plus da banco 200gr,,,5.99 € / pz,,,articoli per la casa,,1.0 pz
65,,so.di.fer rotolo carta abrasiva 80gr,,,5.99 € / pz,,,articoli per la casa,,1.0 pz
66,,so.di.fer carta silicata 6 fogli assortiti,,,3.99 € / pz,,,articoli per la casa,,1.0 pz
67,,bostik super trasparente 50 g,,,5.99 € / pz,,,articoli per la casa,,1.0 pz
68,,bostik grizzly montage power 250 g,,,7.99 € / pz,,,articoli per la casa,,1.0 pz
69,,"stanley cassetta 16"" 40.6x20.5x19.5cm",,,16.90 € / pz,,,articoli per la casa,,1.0 pz
70,,pattex repair extreme 20g,,,9.99 € / pz,,,articoli per la casa,,1.0 pz
71,,duracell plus aa batterie stilo alcaline 1.5v lr06 mx1500 pile duracell confezione da 4 pile duracel,,,5.59 € / pz,,,articoli per la casa,,1.0 pz
72,,duracell plus aaa batterie ministilo alcaline 1.5v lr03 mn2400 confezione da 4 pile duracell,,,5.59 € / pz,,,articoli per la casa,,1.0 pz
73,,carrefour 10+10pz pile aaa ministilo,,,8.79 € / pz,,,articoli per la casa,,1.0 pz
74,,carrefour a4 carta inkjet a4 80g (210x297 mm) 500 fogli bianco,,,6.99 € / pz,,,articoli per la casa,,1.0 pz
75,,one day + igiene mascherine ffp2 colors blu 5 pz,,,2.50 € / pz,,,articoli per la casa,,1.0 pz
76,,5 mascherine ffp2/kn95,,,2.50 € / pz,,,articoli per la casa,,1.0 pz
77,,carrefour cartafotocopie a4 500 fogli 80 g/m²,,,5.99 € / pz,,,articoli per la casa,,1.0 pz
78,,carrefour contenitore ermetico,,,0.79 € / pz,,,articoli per la casa,,1.0 pz
79,,loctite super attak precision 5 g,,,5.79 € / pz,,,articoli per la casa,,1.0 pz
80,,poly pool adattatore multisize con spina 10a prese pluristandart bianco,,,6.99 € / pz,,,articoli per la casa,,1.0 pz
81,,philips led goccia filamento 120w e27 2700k,,,14.90 € / pz,,,articoli per la casa,,1.0 pz
82,,fabriano carta per fotocopie hyper white a4 80g/m² 500ff ppl,,,7.49 € / pz,,,articoli per la casa,,1.0 pz
83,,carrefour registratore protocollo dorso 8 oblò,,,3.29 € / pz,,,articoli per la casa,,1.0 pz
84,,opharm 10 mascherine ffp2 nere,,,5.00 € / pz,,,articoli per la casa,,1.0 pz
85,,carrefour 6 pile ministilo,,,3.99 € / pz,,,articoli per la casa,,1.0 pz
86,,opharm 10 mascherine ffp2 bianche,,,5.00 € / pz,,,articoli per la casa,,1.0 pz
87,,carrefour 4 pile lition cr2032,,,4.19 € / pz,,,articoli per la casa,,1.0 pz
88,,simpl 8 pile ministilo aaa,,,2.59 € / pz,,,articoli per la casa,,1.0 pz
89,,belli e forti frigobox frigobella quad 1lt,,,1.49 € / pz,,,articoli per la casa,,1.0 pz
90,,"poly pool adattatore multisize spina 10a, 1 presa 10/16a (standard italiano 10-16a e tedesco 16a 2p+t con terra laterale), 2 prese 10-16a, interruttore di sicurezza, ce",,,6.99 € / pz,,,articoli per la casa,,1.0 pz
91,,carrefour matite colorate,,,0.69 € / pz,,,articoli per la casa,,1.0 pz
92,,belli e forti frigobox frigobella rett 0.5lt,,,0.99 € / pz,,,articoli per la casa,,1.0 pz
93,,carrefour confezione 50 buste a perforazione universale alto spessore finitura liscia foglio di protezione 210 x 297 mm (a4) polipropilene (pp) 50 pz,,,4.79 € / pz,,,articoli per la casa,,1.0 pz
94,,post-it notes giallo 76 mm x 76 mm 100 foglietti 1 pz,,,1.99 € / pz,,,articoli per la casa,,1.0 pz
95,,carrefour nastro imballo avana 66x50,,,3.99 € / pz,,,articoli per la casa,,1.0 pz
96,,energizer max aa 4 pz,,,5.99 € / pz,,,articoli per la casa,,1.0 pz
97,,carrefour liquido lavavetro -10° pluristagionale,,,3.99 € / pz,,,articoli per la casa,,1.0 pz
98,,brita filtri per acqua maxtra+ pack 3 - per 3 mesi di filtrazione,,,24.90 € / pz,,,articoli per la casa,,1.0 pz
99,,"carrefour adattatore pluristandard con spina 16a 2p+t, 2 prese bivalenti 10/16a 2p+t e 1 presa 10-16a 2p+t (stand. italiano 10a e tedesco 16a con terra laterale),imq, ce",,,3.49 € / pz,,,articoli per la casa,,1.0 pz
100,,carrefour 12 pennarelli punta larga,,,2.99 € / pz,,,articoli per la casa,,1.0 pz
101,,wood living cucchiaio 35 cm in faggio,,,1.39 € / pz,,,articoli per la casa,,1.0 pz
102,,ghidini cipriano set 6 pz molle chiudisacchetto,,,2.69 € / pz,,,articoli per la casa,,1.0 pz
103,,fa.bo.ss bi-pack borse termiche in poliestere 24+7l,,,9.90 € / pz,,,articoli per la casa,,1.0 pz
104,,wood living forchetta 30 cm in faggio,,,1.39 € / pz,,,articoli per la casa,,1.0 pz
105,,bormioli rocco 2 tappi barattoli bormoli 70 mm,,,1.39 € / pz,,,articoli per la casa,,1.0 pz
106,,carrefour 48 etichette bianche 24x35mm,,,1.49 € / pz,,,articoli per la casa,,1.0 pz
107,,rhütten additivo adblue 5l,,,11.90 € / pz,,,articoli per la casa,,1.0 pz
108,,carrefour 6 pile stilo,,,3.99 € / pz,,,articoli per la casa,,1.0 pz
109,,kaimano coltello speciale bistecca cm 11.5 marrone 6 pz,,,9.49 € / pz,,,articoli per la casa,,1.0 pz
110,,kinzo feltrini,,,0.79 € / pz,,,articoli per la casa,,1.0 pz
