,Product,Unit Price
0,Mandine Microonde MMO23DH-17,"€ 59,90 alpz/1.0 pz"
1,De’Longhi Macchina automatica per caffè in chicchi,"€ 279,00 alpz/1.0 pz"
2,Bluesky Robot da cucina BFP750-16,"€ 34,90 alpz/1.0 pz"
3,Tefal Friggitrice Easy Pro Premium FR3380 Singolo 3L Indipendente 2200W Acciaio inossidabile,"€ 49,90 alpz/1.0 pz"
4,"Lavazza LM800 Tiny Automatica/Manuale Macchina per caffè a capsule 0,75 L","€ 89,90 alpz/1.0 pz"
5,"Telefunken Friggitrice Ad Aria 2,5Lt","€ 39,90 alpz/1.0 pz"
6,Mandine Macchina per il pane MBM450-18 Acciaio inox/Nero,"€ 59,90 alpz/1.0 pz"
7,Moulinex Fornetto Optimo 33L 1600 W,"€ 169,00 alpz/1.0 pz"
8,"Lavazza Jolie Automatica/Manuale Macchina per caffè a capsule 0,6 L","€ 119,00 alpz/1.0 pz"
9,Mandine Plancha Elettrica Bamboo,"€ 39,90 alpz/1.0 pz"
10,Mandine Microonde Sin Grill MMOR20M,"€ 59,90 alpz/1.0 pz"
11,Philips Essential HD9200/90 Airfryer L - 4 porzioni,"€ 134,00 alpz/1.0 pz"
12,Xiaomi Mi Smart friggitrice ad aria 3.5L,"€ 89,00 alpz/1.0 pz"
13,"Moulinex OX4648 Optimo Forno Elettrico con Capacità di 33 L, Potenza 1600 W 28x31x36cm","€ 169,00 alpz/1.0 pz"
14,"De’Longhi Magnifica S ECAM 21.117.SB Automatica Macchina per espresso 1,8 L","€ 319,00 alpz/1.0 pz"
15,Toshiba Microonde 20l Tmo20mm,"€ 79,90 alpz/1.0 pz"
16,"Ariete Robot da cucina 2945 5 L 1900 W Argento, Bianco","€ 139,00 alpz/1.0 pz"
17,Mandine Macchina del caffè americana,"€ 64,90 alpz/1.0 pz"
18,Samsung Microonde Combinato Cottura Ventilata 28L MC2BH5015AW,"€ 149,00 alpz/1.0 pz"
19,"De’Longhi BQ 60.X barbecue per l'aperto e bistecchiera Grill Da tavolo Elettrico Nero, Grigio 1900 W","€ 159,00 alpz/1.0 pz"
20,"Moulinex AF179D10 Uno L Metal, 1900 W, 2.1 Litri, Acciaio Inossidabile, Nero/Grigio","€ 99,90 alpz/1.0 pz"
21,Macom Cappuccinatore Montascalda Latte Elettrico,"€ 45,90 alpz/1.0 pz"
22,"Kenwood FDP302SI robot da cucina 800 W 2,1 L Argento","€ 119,00 alpz/1.0 pz"
23,"Sharp Home Appliances R-752IN forno a microonde Superficie piana Microonde combinato 25 L 900 W Nero, Argento","€ 149,00 alpz/1.0 pz"
24,Mandine Microonde Grill MMG20DABM-22,"€ 69,90 alpz/1.0 pz"
25,"Lavazza LM 840 Tiny Eco Automatica/Manuale Macchina per caffè a capsule 0,6 L","€ 89,90 alpz/1.0 pz"
26,Bialetti Macchina Del Caffe' Gioia,"€ 79,90 alpz/1.0 pz"
27,Bluesky COFFEE MAKER BCM125B-23,"€ 16,90 alpz/1.0 pz"
28,Samsung Microonde Combinato Cottura Ventilata 28L MC28H5015AW,"€ 159,00 alpz/1.0 pz"
29,De’Longhi Nescafé Dolce Gusto GENIO S EDG225.W - Bianco,"€ 89,90 alpz/1.0 pz"
30,Impastatrice Mandine MSM1000,"€ 99,90 alpz/1.0 pz"
31,Philips Essential HD9270/70 Airfryer XL - 5 porzioni,"€ 199,00 alpz/1.0 pz"
32,"Bialetti Gioia Automatica Macchina per espresso 0,5 L","€ 59,90 alpz/1.0 pz"
33,"De’Longhi ECAM13.123.W macchina per caffè Automatica Macchina da caffè con filtro 1,8 L","€ 499,00 alpz/1.0 pz"
34,Samsung Microonde Grill Cottura Sana 23L MG2AF301TCK,"€ 199,00 alpz/1.0 pz"
35,Lavazza MilkEasy Schiumatore per latte automatico Nero,"€ 69,90 alpz/1.0 pz"
36,Sharp YC-MG01E-B forno a microonde Superficie piana Microonde combinato 20 L 800 W Nero,"€ 89,90 alpz/1.0 pz"
37,Philips Essential HD9200/90 Airfryer L - 4 porzioni,"€ 134,00 alpz/1.0 pz"
38,"Kenwood MultiPro Compact robot da cucina 800 W 1,2 L Bianco","€ 99,90 alpz/1.0 pz"
39,"De’Longhi EO 20792 fornetto con tostapane 20 L Nero, Argento Grill 700W","€ 179,00 alpz/1.0 pz"
40,Mandine Microonde MMO23DH-17,"€ 59,90 alpz/1.0 pz"
41,Mandine Microonde MMO23DH-17,"€ 59,90 alpz/1.0 pz"
42,De’Longhi Macchina automatica per caffè in chicchi,"€ 279,00 alpz/1.0 pz"
43,Bluesky Robot da cucina BFP750-16,"€ 34,90 alpz/1.0 pz"
44,Tefal Friggitrice Easy Pro Premium FR3380 Singolo 3L Indipendente 2200W Acciaio inossidabile,"€ 49,90 alpz/1.0 pz"
45,"Lavazza LM800 Tiny Automatica/Manuale Macchina per caffè a capsule 0,75 L","€ 89,90 alpz/1.0 pz"
46,"Telefunken Friggitrice Ad Aria 2,5Lt","€ 39,90 alpz/1.0 pz"
47,Mandine Macchina per il pane MBM450-18 Acciaio inox/Nero,"€ 59,90 alpz/1.0 pz"
48,Moulinex Fornetto Optimo 33L 1600 W,"€ 169,00 alpz/1.0 pz"
49,"Lavazza Jolie Automatica/Manuale Macchina per caffè a capsule 0,6 L","€ 119,00 alpz/1.0 pz"
50,Mandine Plancha Elettrica Bamboo,"€ 39,90 alpz/1.0 pz"
51,Mandine Microonde Sin Grill MMOR20M,"€ 59,90 alpz/1.0 pz"
52,Philips Essential HD9200/90 Airfryer L - 4 porzioni,"€ 134,00 alpz/1.0 pz"
53,Xiaomi Mi Smart friggitrice ad aria 3.5L,"€ 89,00 alpz/1.0 pz"
54,"Moulinex OX4648 Optimo Forno Elettrico con Capacità di 33 L, Potenza 1600 W 28x31x36cm","€ 169,00 alpz/1.0 pz"
55,"De’Longhi Magnifica S ECAM 21.117.SB Automatica Macchina per espresso 1,8 L","€ 319,00 alpz/1.0 pz"
56,Toshiba Microonde 20l Tmo20mm,"€ 79,90 alpz/1.0 pz"
57,"Ariete Robot da cucina 2945 5 L 1900 W Argento, Bianco","€ 139,00 alpz/1.0 pz"
58,Mandine Macchina del caffè americana,"€ 64,90 alpz/1.0 pz"
59,Samsung Microonde Combinato Cottura Ventilata 28L MC2BH5015AW,"€ 149,00 alpz/1.0 pz"
60,"De’Longhi BQ 60.X barbecue per l'aperto e bistecchiera Grill Da tavolo Elettrico Nero, Grigio 1900 W","€ 159,00 alpz/1.0 pz"
61,"Moulinex AF179D10 Uno L Metal, 1900 W, 2.1 Litri, Acciaio Inossidabile, Nero/Grigio","€ 99,90 alpz/1.0 pz"
62,Macom Cappuccinatore Montascalda Latte Elettrico,"€ 45,90 alpz/1.0 pz"
63,"Kenwood FDP302SI robot da cucina 800 W 2,1 L Argento","€ 119,00 alpz/1.0 pz"
64,"Sharp Home Appliances R-752IN forno a microonde Superficie piana Microonde combinato 25 L 900 W Nero, Argento","€ 149,00 alpz/1.0 pz"
65,Mandine Microonde Grill MMG20DABM-22,"€ 69,90 alpz/1.0 pz"
66,"Lavazza LM 840 Tiny Eco Automatica/Manuale Macchina per caffè a capsule 0,6 L","€ 89,90 alpz/1.0 pz"
67,Bialetti Macchina Del Caffe' Gioia,"€ 79,90 alpz/1.0 pz"
68,Bluesky COFFEE MAKER BCM125B-23,"€ 16,90 alpz/1.0 pz"
69,Samsung Microonde Combinato Cottura Ventilata 28L MC28H5015AW,"€ 159,00 alpz/1.0 pz"
70,De’Longhi Nescafé Dolce Gusto GENIO S EDG225.W - Bianco,"€ 89,90 alpz/1.0 pz"
71,Impastatrice Mandine MSM1000,"€ 99,90 alpz/1.0 pz"
72,Philips Essential HD9270/70 Airfryer XL - 5 porzioni,"€ 199,00 alpz/1.0 pz"
73,"Bialetti Gioia Automatica Macchina per espresso 0,5 L","€ 59,90 alpz/1.0 pz"
74,"De’Longhi ECAM13.123.W macchina per caffè Automatica Macchina da caffè con filtro 1,8 L","€ 499,00 alpz/1.0 pz"
75,Samsung Microonde Grill Cottura Sana 23L MG2AF301TCK,"€ 199,00 alpz/1.0 pz"
76,Lavazza MilkEasy Schiumatore per latte automatico Nero,"€ 69,90 alpz/1.0 pz"
77,Sharp YC-MG01E-B forno a microonde Superficie piana Microonde combinato 20 L 800 W Nero,"€ 89,90 alpz/1.0 pz"
78,Philips Essential HD9200/90 Airfryer L - 4 porzioni,"€ 134,00 alpz/1.0 pz"
79,"Kenwood MultiPro Compact robot da cucina 800 W 1,2 L Bianco","€ 99,90 alpz/1.0 pz"
80,"De’Longhi EO 20792 fornetto con tostapane 20 L Nero, Argento Grill 700W","€ 179,00 alpz/1.0 pz"
81,Mandine Friggitrice Ad Aria 3.5L Digital,"€ 49,90 alpz/1.0 pz"
82,Hisense H06AFBS1S3 friggitrice Singolo 5 L 1700 W Friggitrice ad aria calda Nero,"€ 129,00 alpz/1.0 pz"
83,"Ariete 4615 Airy Fryer Mini, Friggitrice ad Aria, 1000 Watt, 2 litri, Max Temperatura 200° C, Ricettario, Bianco/Giallo","€ 44,90 alpz/1.0 pz"
84,"Krups Mini Me KP123B Macchina da caffè con capsule compatta ed automatica, oltre 30 Tipologie di Caffè","€ 99,90 alpz/1.0 pz"
85,Mandine Piano cottura a induzione - MIC2101-17 2000W,"€ 50,90 alpz/1.0 pz"
86,Mandine MSM1000R-22 robot da cucina 1000 W 5 L Rosso,"€ 99,90 alpz/1.0 pz"
87,Humana 1 Latte per lattanti 470 ml,"€ 6,36 all/470.0 ml"
88,Aptamil Nutribiotik 2 Latte di Proseguimento 500 ml,"€ 3,78 all/500.0 ml"
89,Aptamil Nutribiotik 1 Latte per Lattanti 500 ml,"€ 4,90 all/500.0 ml"
90,Mellin 100% Frutta Mista con Vitamina C 90 g,"€ 8,78 alkg/90.0 g"
