,Product,unit Price,Category,Unit Price [€],Unit Type,Quantity [units],Quantity,Unit of measure,Product Price [€]
0,Carrefour Correttore a nastro maxi 5x12 mm,"€ 1,89 al
pz/1.0 pz",articoli per la casa,1.89,pz,1.0 pz,1.0,pz,1.89
1,Carrefour Confezione di 4 Penne a Sfera Blu Penna a sfera Medio 4 pz,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
2,Carrefour Forbici punte arrotondate 17cm,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
3,Carrefour Confezione di 4 Penne a Sfera Nero Penna a sfera Medio 4 pz,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
4,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura 5mm,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
5,Carrefour 4 Penne a sfera colori assortiti,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
6,Carrefour 2 Nastri Trasparenti 25mx19mm,"€ 1,99 al
pz/1.0 pz",articoli per la casa,1.99,pz,1.0 pz,1.0,pz,1.99
7,Carrefour 2 Colle Stick 20G-20G,"€ 3,19 al
pz/1.0 pz",articoli per la casa,3.19,pz,1.0 pz,1.0,pz,3.19
8,Carrefour 24 matite colorate,"€ 4,89 al
pz/1.0 pz",articoli per la casa,4.89,pz,1.0 pz,1.0,pz,4.89
9,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura 1R,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
10,Carrefour Temperamatite manuale Metallico,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
11,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura Q,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
12,Carrefour 2 Gomme Plastica,"€ 0,99 al
pz/1.0 pz",articoli per la casa,0.99,pz,1.0 pz,1.0,pz,0.99
13,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura 10mm,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
14,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura C,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
15,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura 4mm,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
16,Carrefour Correttori a nastro 3 pezzi 5mmx6M,"€ 3,49 al
pz/1.0 pz",articoli per la casa,3.49,pz,1.0 pz,1.0,pz,3.49
17,Staedtler Mars 3 mini gomme plastic,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
18,Pigna Quaderno A5 monocromo a righe colori assortiti,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
19,STABILO Evidenziatore - BOSS ORIGINAL - Pack da 2 - Giallo,"€ 3,29 al
pz/1.0 pz",articoli per la casa,3.29,pz,1.0 pz,1.0,pz,3.29
20,Viquel Carrefour Portaprogetti Polypr. 25mm,"€ 3,39 al
pz/1.0 pz",articoli per la casa,3.39,pz,1.0 pz,1.0,pz,3.39
21,Staedtler 2 matite noris 0=2B,"€ 2,19 al
pz/1.0 pz",articoli per la casa,2.19,pz,1.0 pz,1.0,pz,2.19
22,Carrefour Righello cm 20,"€ 0,99 al
pz/1.0 pz",articoli per la casa,0.99,pz,1.0 pz,1.0,pz,0.99
23,FILA Giotto Stilnovo 36 Pastelli colorati,"€ 13,99 al
pz/1.0 pz",articoli per la casa,13.99,pz,1.0 pz,1.0,pz,13.99
24,BALMAR 2000 Copertina per quaderno A4 rosso laccato 180μm,"€ 1,69 al
pz/1.0 pz",articoli per la casa,1.69,pz,1.0 pz,1.0,pz,1.69
25,Pilot 3800268 penna a sfera Blu Medio 6 pz,"€ 11,50 al
pz/1.0 pz",articoli per la casa,11.5,pz,1.0 pz,1.0,pz,11.5
26,Carrefour 10+10pz Pile AA stilo,"€ 8,79 al
pz/1.0 pz",articoli per la casa,8.79,pz,1.0 pz,1.0,pz,8.79
27,"Carrefour Adattatore con spina 10A 2P+T e presa 10-16A 2P+T (standard Italiano 10A e tedesco 16A con terra laterale), IMQ, CE","€ 2,39 al
pz/1.0 pz",articoli per la casa,2.39,pz,1.0 pz,1.0,pz,2.39
28,Pigna Quaderno Monocromo A4 quadretti 5mm per tutte le classi colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
29,Blasetti Colorclub PPL A4 Quaderno a spirale 1R,"€ 3,19 al
pz/1.0 pz",articoli per la casa,3.19,pz,1.0 pz,1.0,pz,3.19
30,Carrefour Simpl Set Padelle 20-24-28 cm Antiaderente,"€ 14,90 al
pz/1.0 pz",articoli per la casa,14.9,pz,1.0 pz,1.0,pz,14.9
31,Save Up LED Goccia 75W Calda E27 3pz,"€ 8,49 al
pz/1.0 pz",articoli per la casa,8.49,pz,1.0 pz,1.0,pz,8.49
32,Pigna Quaderno Monocromo A4 righe classiche per medie/superiori colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
33,Pigna Quaderno Monocromo A4 quadretti 4mm con margini per elementari/medie colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
34,Pigna Quaderno Monocromo A4 righe C 4a/5a elementare colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
35,Pigna Quaderno Monocromo A4 righe B 3a elementare colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
36,PaperDream Quaderno a spirale Animal Friends A4 rigatura 5M,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
