products,prices_per_unitmeasurement,unit_price,category,subcategory
"Arance Valencia Italia cal. 7 1,5 kg Percorso Qualità Conad","2,65 € / Kg","3,98€",Frutta e verdura,Frutta fresca
Pompelmi Rossi Cal. 4/5 Cat. I,"2,48 € / Kg","1,98€",Frutta e verdura,Frutta fresca
Limone Costa d'Amalfi I.G.P. Primofiore Italia cal. 5 500 g Sapori & Dintorni Conad,"5,56 € / Kg","2,78€",Frutta e verdura,Frutta fresca
"Limoni Verdello Italia 0,500 kg Verso Natura Conad","3,96 € / Kg","1,98€",Frutta e verdura,Frutta fresca
Percorso Qualità Limoni Italia Cal. 4 Cat. I Rete 500g CONAD,"3,96 € / Kg","1,98€",Frutta e verdura,Frutta fresca
Mele Golden Delicious Italia cal. 70/75 1500 g Percorso Qualità Conad,"1,85 € / Kg","2,78€",Frutta e verdura,Frutta fresca
Mele Red Delicious Italia cal. 70/75 1500 g Percorso Qualità Conad,"1,85 € / Kg","2,78€",Frutta e verdura,Frutta fresca
Percorso Qualità Mele Golden Delicious A. Adige Igp Cal. 85/90 Cat. I SAPORI E DINTORNI,"2,58 € / Kg","1,80€",Frutta e verdura,Frutta fresca
Mele Evelina Melinda Origine italia Cal. 75/80 Cat. I Vassoio da 750g MELINDA,"2,64 € / Kg","1,98€",Frutta e verdura,Frutta fresca
Mele Pink Lady Italia Cal. 75/80 Cat. I Vassoio 800g PINK LADY,"3,72 € / Kg","2,98€",Frutta e verdura,Frutta fresca
BIO Banane Cal. 14/21 Cat. I Vassoio 620g VERSO NATURA CONAD REP.DOMINICANA,"0,00 €/Kg","2,98€",Frutta e verdura,Frutta fresca
Percorso Qualità Banane Cat. I CONAD,"1,98 € / Kg","1,98€",Frutta e verdura,Frutta fresca
Pesche a Polpa Gialla Italia cal. B 1 kg Percorso Qualità Conad,3.8 € / Kg,"3,49€",Frutta e verdura,Frutta fresca
"CONAD Percorso Qualità Ciliegie Durone Anella Italia cal. 24/26 0,500 kg",10.8 € / Kg,"4,99€",Frutta e verdura,Frutta fresca
CONAD Percorso Qualità Ciliegie Durone Ferrovia Italia Cal. 22-24 1000 g,"9,90 € / Kg","7,90€",Frutta e verdura,Frutta fresca
Fragole Italia cal. 22mm  500 g Percorso Qualità Conad,7.5 € / Kg,"3,49€",Frutta e verdura,Frutta fresca
Angurie Italia Cat. I,1.5 € / Kg,"18,06€",Frutta e verdura,Frutta fresca
Angurie Mini Italia Cat. I,"1,79 € / Kg","1,79€",Frutta e verdura,Frutta fresca
Melone Sapori & Idee Conad,3.6 € / Kg,"4,03€",Frutta e verdura,Frutta fresca
Melone Retato Italia Cat. I,"2,68 € / Kg","2,68€",Frutta e verdura,Frutta fresca
"Kiwi Green Light Italia cal. 85/100g 0,500 kg Verso Natura Conad","6,96 € / Kg","3,48€",Frutta e verdura,Frutta fresca
Kiwi Hayward Italia cal. 85/100 1000 g Percorso Qualità Conad,"3,68 € / Kg","3,68€",Frutta e verdura,Frutta fresca
Percorso Qualità Kiwi Hayward Italia Cal. 27 Cat. I CONAD,"3,98 € / Kg","1,99€",Frutta e verdura,Frutta fresca
Lime Cat. I Vassoio 300g SAPORI E IDEE,9.9 € / Kg,"1,99€",Frutta e verdura,Frutta fresca
Lime Cat. I Vassoio 300g SAPORI E IDEE BRASILE,14.8 € / Kg,"1,99€",Frutta e verdura,Frutta fresca
Avocado Hass Cat. I SAPORI E IDEE CILE,"0,01 € / Kg","2,98€",Frutta e verdura,Frutta fresca
Avocado Hass S&I Cat. I Vassoio 200g SAPORI E IDEE,"24,90 € / Kg","4,98€",Frutta e verdura,Frutta fresca
Mirtilli Cat. I Vaschetta 125g CONAD SPAGNA,"23,84 € / Kg","2,98€",Frutta e verdura,Frutta fresca
Mirtilli Cile 152 g Conad,"19,84 € / Kg","2,48€",Frutta e verdura,Frutta fresca
Passion Fruit Cat. I Vassoio 200g SAPORI E IDEE,"14,90 € / Kg","2,98€",Frutta e verdura,Frutta fresca
SAPORI & IDEE CONAD Percorso Qualità Ananas Extra Dolce Costa Rica,"2,49 € / Kg","2,49€",Frutta e verdura,Frutta fresca
Lamponi Marocco 125 g Conad,"0,02 € / Kg","2,98€",Frutta e verdura,Frutta fresca
Ananas a Fette 250 g Conad,15.9 € / Kg,"3,49€",Frutta e verdura,Frutta fresca
LIM. I 3 ITA S&D IGP.AMALFI,4.5 € / Kg,"2,44€",Frutta e verdura,Frutta fresca
MELE COSMIC CRISP 80-85 ITA vs.900g,"3,31 € / Kg","2,98€",Frutta e verdura,Frutta fresca
PINOVA I 85-90 ITA cpq pd,"2,48 € / Kg","2,48€",Frutta e verdura,Frutta fresca
COSCIA I 45/50 CHL cs.500g,"5,96 € / Kg","2,98€",Frutta e verdura,Frutta fresca
BANANE I 14  PER 620g BIOLOGICO VNB,"4,81 € / Kg","2,98€",Frutta e verdura,Frutta fresca
PESCA B. I ITA 500g cal.B(saturnia),"7,96 € / Kg","3,49€",Frutta e verdura,Frutta fresca
P.NOCE BIANCA B ESP 500g(SATURNIA),"9,96 € / Kg","4,98€",Frutta e verdura,Frutta fresca
PESCA GIALLA I  B ESP cs.1kg,"4,48 € / Kg","4,48€",Frutta e verdura,Frutta fresca
PESCA GIALLA I  B ESP cs.750g,"9,96 € / Kg","4,98€",Frutta e verdura,Frutta fresca
MIRTILLI MAR 300g (SECCHIELLO),"16,60 € / Kg","4,98€",Frutta e verdura,Frutta fresca
KIWI GOLD I 125-135 NZL 500g ZESPRI,"9,96 € / Kg","4,98€",Frutta e verdura,Frutta fresca
SUCCO DI MELA MELAVI  bott. 1lt.,"2,69 € / L","2,69€",Frutta e verdura,Frutta fresca
Arachidi 250 g Conad,"9,96 € / Kg","2,49€",Frutta e verdura,Frutta secca
Arachidi 500 g Conad,"7,78 € / Kg","3,89€",Frutta e verdura,Frutta secca
Noci con Guscio Biologiche origine non UE 250 g Verso Natura Bio Conad,"13,60 € / Kg","3,40€",Frutta e verdura,Frutta secca
Noci di Sorrento 350 g Sapori & Dintorni Conad,"14,00 € / Kg","4,90€",Frutta e verdura,Frutta secca
Noci Jumbo California 500 g Conad,"7,18 € / Kg","3,59€",Frutta e verdura,Frutta secca
Noci Jumbo Cile 500 g Conad,"7,18 € / Kg","3,59€",Frutta e verdura,Frutta secca
Pistacchi 200 g Conad,"25,75 € / Kg","5,15€",Frutta e verdura,Frutta secca
Pistacchi Biologici 150 g Verso Natura Conad,"36,60 € / Kg","5,49€",Frutta e verdura,Frutta secca
Pistacchi Tostati e Salati 150 g Conad,"29,67 € / Kg","4,45€",Frutta e verdura,Frutta secca
Cameo Snack Friends Pistacchi 120 g,"33,25 € / Kg","3,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Pistacchio Tostato Salato 40 g","24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
Noberasco che arachide! Arachidi Tostate in Guscio 300 g,"12,17 € / Kg","3,65€",Frutta e verdura,Frutta secca
Noberasco che noce! 500 g,"11,40 € / Kg","5,70€",Frutta e verdura,Frutta secca
Ventura Big Blond Arachidi 250 g,"15,16 € / Kg","3,79€",Frutta e verdura,Frutta secca
Ventura Misto in Guscio 350 g,"11,37 € / Kg","3,98€",Frutta e verdura,Frutta secca
Albicocche senza nocciolo essiccate g150 Verso Natura Bio Conad,"19,67 € / Kg","2,95€",Frutta e verdura,Frutta secca
Prugne con Nocciolo Extra Large 250 g Conad,"11,96 € / Kg","2,99€",Frutta e verdura,Frutta secca
Prugne con Nocciolo Extra Large 500 g Conad,"12,50 € / Kg","6,25€",Frutta e verdura,Frutta secca
Prugne Denocciolate 250 g Conad,"13,00 € / Kg","3,25€",Frutta e verdura,Frutta secca
Prugne Denocciolate 500 g Conad,"14,50 € / Kg","7,25€",Frutta e verdura,Frutta secca
Uva Sultanina 250 g Conad,"6,20 € / Kg","1,55€",Frutta e verdura,Frutta secca
Uva Sultanina g 200 Verso Natura Bio Conad,"9,95 € / Kg","1,99€",Frutta e verdura,Frutta secca
Noberasco Frutta Selezionata Zenzero 250 g,14.2 € / Kg,"2,48€",Frutta e verdura,Frutta secca
Econoce Zenzero Candito a Cubetti Biologico 100 g,"27,90 € / Kg","2,79€",Frutta e verdura,Frutta secca
Melinda Melamangio 100% Mela Essiccata Rondelle 20 g,"57,50 € / Kg","1,15€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Banana Chips 100 g","9,90 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Goji Berry 30 g","33,00 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Mirtilli Rossi 50 g","19,80 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Misto Tropicale 80 g","12,38 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Uva Sultanina 150 g","6,60 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Zenzero 70 g","14,14 € / Kg","0,99€",Frutta e verdura,Frutta secca
Noberasco Bio CrokkaMela Spicchi di Mele 20 g,"80,00 € / Kg","1,60€",Frutta e verdura,Frutta secca
Noberasco Cocco Bello! 100 g,"27,00 € / Kg","2,70€",Frutta e verdura,Frutta secca
Noberasco Viva i Datteri con Nocciolo 200 g,"24,95 € / Kg","4,99€",Frutta e verdura,Frutta secca
Noberasco Viva il Fico 200 g,"14,95 € / Kg","2,99€",Frutta e verdura,Frutta secca
Noberasco Viva l'Albicocca Denocciolate 200 g,"24,75 € / Kg","4,95€",Frutta e verdura,Frutta secca
Noberasco Viva la Macedonia 200 g,"16,95 € / Kg","3,39€",Frutta e verdura,Frutta secca
Noberasco Viva la Prugna Denocciolate 400 g,"22,12 € / Kg","8,85€",Frutta e verdura,Frutta secca
Semplicemente Frutta Ananas Essiccato 25 g,"39,60 € / Kg","0,99€",Frutta e verdura,Frutta secca
Sunsweet Ones Una ad Una Prugne California Denocciolate 200 g,"24,95 € / Kg","4,99€",Frutta e verdura,Frutta secca
Sunsweet Prugne California premium denocciolate 250 g,"27,16 € / Kg","6,79€",Frutta e verdura,Frutta secca
Sunsweet Prugne California premium denocciolate 500 g,"18,98 € / Kg","9,49€",Frutta e verdura,Frutta secca
Ventura I nostri Datteri di Tunisi Deglet Nour 250 g,"7,92 € / Kg","1,98€",Frutta e verdura,Frutta secca
Ventura I nostri Fichi Pulled 250 g,"17,92 € / Kg","4,48€",Frutta e verdura,Frutta secca
Ventura Le Nostre Dolci Bontà Mirtilli 100 g,"39,80 € / Kg","3,98€",Frutta e verdura,Frutta secca
Anacardi Biologici 30 g Verso Natura Bio Conad,"33,00 € / Kg","0,99€",Frutta e verdura,Frutta secca
Anacardi Tostati e Salati 200 g Conad,"26,00 € / Kg","5,20€",Frutta e verdura,Frutta secca
Arachidi Jumbo Tostate e Salate 200 g Conad,"9,95 € / Kg","1,99€",Frutta e verdura,Frutta secca
Arachidi Ricoperte Gusto Paprika 150 g Conad,"13,27 € / Kg","1,99€",Frutta e verdura,Frutta secca
Arachidi Tostate e Salate 300 g Conad,"7,17 € / Kg","2,15€",Frutta e verdura,Frutta secca
"Cranberries, Prugne, Mandorle e Nocciole 40 g Conad","24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
Mandorle di Puglia Sgusciate 80 g Sapori & Dintorni Conad,"34,88 € / Kg","2,79€",Frutta e verdura,Frutta secca
Mandorle Pelate 100 g Conad,"20,50 € / Kg","2,05€",Frutta e verdura,Frutta secca
Mandorle Pelate 70g Verso Natura Bio Conad,"30,71 € / Kg","2,15€",Frutta e verdura,Frutta secca
Mandorle Sgusciate 100 g Conad,"19,80 € / Kg","1,98€",Frutta e verdura,Frutta secca
Mandorle Sgusciate 250 g Conad,"15,96 € / Kg","3,99€",Frutta e verdura,Frutta secca
Mandorle Sgusciate 400 g Conad,"14,98 € / Kg","5,99€",Frutta e verdura,Frutta secca
Mandorle Sgusciate 70g Verso Natura Bio Conad,"28,43 € / Kg","1,99€",Frutta e verdura,Frutta secca
Mandorle Tostate e Salate 150 g Conad,"26,33 € / Kg","3,95€",Frutta e verdura,Frutta secca
"Mandorle, Anacardi, Ananas e Cranberries 40 g Conad","24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Mandorle, Anacardi, Uvetta e Zenzero 40 g Conad","24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Mix Arachidi, Anacardi, Mandorle e Nocciole Tostato e Salato 300 g Conad","15,97 € / Kg","4,79€",Frutta e verdura,Frutta secca
"Mix Croccante semi di zucca, semi di girasole, anacardi, noci, mandorle pelate 250 g Conad","15,80 € / Kg","3,95€",Frutta e verdura,Frutta secca
"Mix Croccante semi di zucca, semi di girasole, anacardi, noci, mandorle pelate 400 g Conad","14,75 € / Kg","5,90€",Frutta e verdura,Frutta secca
Mix Dinamico 40 g Verso Natura Bio Conad,"24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
Mix Dinamico Biologico 150 g Verso Natura Bio Conad,"22,60 € / Kg","3,39€",Frutta e verdura,Frutta secca
"Mix Energia uva sultanina, nocciole, noci, mandorle pelate 250 g Conad","15,80 € / Kg","3,95€",Frutta e verdura,Frutta secca
"Mix Energia uva sultanina, nocciole, noci, mandorle pelate 400 g Conad","14,75 € / Kg","5,90€",Frutta e verdura,Frutta secca
Mix Piccante 175 g Conad,"11,37 € / Kg","1,99€",Frutta e verdura,Frutta secca
"Mix uva sultanina, mandorle, nocciole e noci g 150 Verso Natura Bio Conad","21,27 € / Kg","3,19€",Frutta e verdura,Frutta secca
Nocciola Piemonte IGP Tostata 80 g Sapori & Dintorni Conad,"39,88 € / Kg","3,19€",Frutta e verdura,Frutta secca
Nocciole Sgusciate 250 g Conad,"21,00 € / Kg","5,25€",Frutta e verdura,Frutta secca
Nocciole Tostate e Pelate 250 g Conad,"23,80 € / Kg","5,95€",Frutta e verdura,Frutta secca
"Noci Pecan, Mandorle e Uva di Corinto 40 g Conad","24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
Noci Sgusciate 70g Verso Natura Bio Conad,"35,57 € / Kg","2,49€",Frutta e verdura,Frutta secca
Noci Sgusciate California 170 g Conad,"20,00 € / Kg","3,40€",Frutta e verdura,Frutta secca
Noci Sgusciate California 250 g Conad,"18,80 € / Kg","4,70€",Frutta e verdura,Frutta secca
Noci Sgusciate Cile 80 g Conad,"26,88 € / Kg","2,15€",Frutta e verdura,Frutta secca
Pinoli 40 g Conad,"13,47 € / Kg","5,39€",Frutta e verdura,Frutta secca
Pinoli Marittimi del tirreno Sgusciati e Pelati 30 g Sapori & Dintorni Conad,"153,00 € / Kg","4,59€",Frutta e verdura,Frutta secca
Pinoli sgusciati g 30 Verso Natura Bio Conad,"138,33 € / Kg","4,15€",Frutta e verdura,Frutta secca
Pistacchi di Sicilia Sgusciati 40 g Sapori e Dintorni Conad,"82,25 € / Kg","3,29€",Frutta e verdura,Frutta secca
"Pistacchi, Cranberries, Noci Brasile e Noci 40 g Conad","24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Semi di Girasole, Mandorle, Goji e Mirtilli 40 g Conad","24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
Snack di Mais Fritto e Salato 150 g Conad,"5,93 € / Kg","0,89€",Frutta e verdura,Frutta secca
Cameo Snack Friends Arachidi 200 g,"12,45 € / Kg","2,49€",Frutta e verdura,Frutta secca
Cameo Snack Friends Arachidi 3 x 40 g,"12,92 € / Kg","1,55€",Frutta e verdura,Frutta secca
Cameo Snack Friends Arachidi 300 g,"9,17 € / Kg","2,75€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Arachidi Cotte al Forno 100 g","9,90 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Mandorle Pelate 40 g","24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Mandorle Sgusciate 50 g","19,80 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Misto Piccante 100 g","9,90 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Misto Salato 100 g","9,90 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Nocciole Pelate Tostate 40 g","24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Nocciole Sgusciate 40 g","24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Noci Sgusciate 40 g","24,75 € / Kg","0,99€",Frutta e verdura,Frutta secca
"Noberasco € 0,99 Pinoli 10 g","99,00 € / Kg","0,99€",Frutta e verdura,Frutta secca
Noberasco Bio Castagne Già Pelate 35 g,"45,71 € / Kg","1,60€",Frutta e verdura,Frutta secca
Noberasco che Misto! Bio Armonia 130 g,"23,00 € / Kg","2,99€",Frutta e verdura,Frutta secca
Noberasco che Misto! Bio Fitness 130 g,"23,00 € / Kg","2,99€",Frutta e verdura,Frutta secca
Noberasco che Misto! Bio Ritmo 130 g,"23,00 € / Kg","2,99€",Frutta e verdura,Frutta secca
Noberasco che Misto! Bio Wellness 130 g,"23,00 € / Kg","2,99€",Frutta e verdura,Frutta secca
Noberasco che noce! Noci Sgusciate 100 g,"39,90 € / Kg","3,99€",Frutta e verdura,Frutta secca
Noberasco le Caldarroste Express 90 g,"38,67 € / Kg","3,48€",Frutta e verdura,Frutta secca
Noberasco Mandorle Sgusciate 350 g,"15,14 € / Kg","5,30€",Frutta e verdura,Frutta secca
Noberasco Noci Sgusciate 175 g,"22,80 € / Kg","3,99€",Frutta e verdura,Frutta secca
Noberasco Pinoli dal mondo 60 g,"124,83 € / Kg","7,49€",Frutta e verdura,Frutta secca
Noberasco Viva la Castagna 100 g,"45,50 € / Kg","4,55€",Frutta e verdura,Frutta secca
Semplicemente Frutta Power Mix 30 g,"33,00 € / Kg","0,99€",Frutta e verdura,Frutta secca
Ventura BBMix Bellezza 150 g,"23,93 € / Kg","3,59€",Frutta e verdura,Frutta secca
