,Product,Price
0,"Esselunga Bio, cipolle dorate 500 g","Euro 3,16 / kg"
1,"Esselunga Bio, datterini biologici 300 g","Euro 8,27 / kg"
2,"Esselunga Bio, broccoletti biologici 500 g","Euro 6,36 / kg"
3,"Esselunga Bio, Insalatina 100 g","Euro 14,80 / kg"
4,"Esselunga Bio, 6 uova fresche biologiche","Euro 0,49 / pz"
5,"Esselunga Bio, prezzemolo tritato biologico surgelato 50 g","Euro 23,00 / kg"
6,"Esselunga Bio, misto per soffritto biologico surgelato 150 g","Euro 7,67 / kg"
7,"Esselunga Bio, passata di pomodoro biologica 700 g","Euro 1,85 / kg"
8,"Esselunga Bio, farina tipo 00 di grano tenero biologica 1 kg","Euro 1,29 / kg"
9,"Esselunga Bio, misticanza biologica 125 g","Euro 15,84 / kg"
10,"Esselunga Bio, latte microfiltrato biologico parzialmente scremat…","Euro 1,79 / l"
11,"Esselunga Bio, latte microfiltrato biologico intero 100% italiano…","Euro 1,79 / l"
12,"Esselunga Bio, pomodori pelati biologici 400 g","Euro 2,48 / kg"
13,"Esselunga Bio, ceci biologici 400 g - peso netto sgocc. 240 g","Euro 4,13 / kg"
14,"Esselunga Bio, valeriana biologica 100 g","Euro 19,80 / kg"
15,"Esselunga Bio, spinaci in foglia a cubetti biologiche surgelati 7…","Euro 4,39 / kg"
16,"Esselunga Bio, cipolla tritata biologica surgelata 150 g","Euro 7,67 / kg"
17,"Esselunga Bio, succo di mele biologico 750 ml","Euro 3,44 / l"
18,"Esselunga Bio, crescenza biologica 100 g","Euro 18,90 / kg"
19,"Esselunga Bio, yogurt intero bianco biologico conf. 2x125 g","Euro 3,96 / kg"
20,"Esselunga Bio, sorbetto al limone di Sicilia 6 pezzi biologico 39…","Euro 6,39 / kg"
21,"Esselunga Bio, minestrone 12 verdure biologico surgelato 450 g","Euro 5,32 / kg"
22,"Esselunga Bio, lenticchie biologici 400 g - peso netto sgocc. 240…","Euro 4,13 / kg"
23,"Esselunga Bio, yogurt intero bianco biologico 500 g","Euro 3,38 / kg"
24,"Esselunga Bio, succo e polpa di pesca biologico conf. 3x200 ml","Euro 3,07 / l"
25,"Esselunga Bio, burro biologico 250 g","Euro 15,56 / kg"
26,"Esselunga Bio, panna UHT biologica 200 ml","Euro 6,45 / l"
27,"Esselunga Bio, fagiolini biologici surgelati 450 g","Euro 4,65 / kg"
28,"Esselunga Bio, piadina con olio extra vergine di oliva da conserv…","Euro 8,31 / kg"
29,"Esselunga Bio, Parmigiano Reggiano DOP biologico  150 g","Euro 22,50 / kg"
30,"Esselunga Bio, pisellini primizia biologiche surgelati 750 g","Euro 4,39 / kg"
31,"Esselunga Bio, 100% succo di arancia rossa biologico 750 ml","Euro 3,19 / l"
32,"Esselunga Bio, fagioli borlotti biologici 400 g - peso netto sgoc…","Euro 4,13 / kg"
33,"Esselunga Bio, basilico tritato biologico surgelato 50 g","Euro 23,00 / kg"
34,"Esselunga Bio, sugo al basilico biologico 190 g","Euro 8,37 / kg"
35,"Esselunga Bio, Crackers integrali 200 g","Euro 6,45 / kg"
36,"Esselunga Bio, formaggio fresco da spalmare biologico conf. 3x40 …","Euro 16,59 / kg"
37,"Esselunga Bio, yogurt magro 0,1% di grassi bianco biologico conf.…","Euro 3,96 / kg"
38,"Esselunga Bio, polpa di pomodoro biologica 400 g","Euro 2,48 / kg"
39,"Esselunga Bio, Ditalini Rigati pasta di semola di grano duro biol…","Euro 1,98 / kg"
40,"Esselunga Bio, frollini con cereali e farina integrale 300 g","Euro 7,97 / kg"
41,"Esselunga Bio, farro perlato 500 g","Euro 4,28 / kg"
42,"Esselunga Bio, Altromercato zucchero di canna grezzo 500 g","Euro 4,60 / kg"
43,"Esselunga Bio, confettura extra di albicocche biologica 340 g","Euro 7,92 / kg"
44,"Esselunga Bio, fiocchi di mais 375 g","Euro 4,11 / kg"
45,"Esselunga Bio, orzo tostato solubile biologico 125 g","Euro 15,84 / kg"
46,"Esselunga Bio, pinoli sgusciati biologici 80 g","Euro 87,38 / kg"
47,"Esselunga Bio, Finocchio dolce per infuso 16 filtri 32 g","Euro 79,69 / kg"
48,"Esselunga Bio, aceto di mele biologico 75 cl","Euro 3,59 / l"
49,"Esselunga Bio, sorbetto al limone di Sicilia biologico 500 g","Euro 8,38 / kg"
50,"Esselunga Bio, patate biologiche surgelate 750 g","Euro 3,99 / kg"
51,"Esselunga Equilibrio, Tempeh conf. 2x75 g","Euro 18,61 / kg"
52,"Esselunga Bio, yogurt magro 0,1% di grassi bianco biologico 500 g","Euro 3,38 / kg"
53,"Esselunga Bio, piadina con farro da conservare in frigorifero 3 p…","Euro 15,96 / kg"
54,"Esselunga Bio, sugo alle verdure biologico 190 g","Euro 8,37 / kg"
55,"Esselunga Bio, Spaghetti pasta di semola di grano duro 500 g","Euro 1,98 / kg"
56,"Esselunga Bio, riso Arborio biologico 1 kg","Euro 3,99 / kg"
57,"Esselunga Bio, fiocchi di frumento integrali biologici 375 g","Euro 5,50 / kg"
58,"Esselunga Bio, camomilla setacciata 16 filtri 16 g","Euro 163,13 / kg"
59,"Esselunga Bio, caffè 100% arabica 250 g","Euro 21,24 / kg"
60,"Esselunga Bio, lenticchie rosse 500 g","Euro 5,58 / kg"
61,"Esselunga Bio, biscotti secchi assortiti 300 g","Euro 7,97 / kg"
62,"Esselunga Bio, orzo perlato biologico 500 g","Euro 3,18 / kg"
63,"Esselunga Bio, Pomodorini biologici 400 g","Euro 6,21 / kg"
64,"Esselunga Bio, ceci 500 g","Euro 4,98 / kg"
65,"Esselunga Bio, Penne Rigate pasta di semola di grano duro 500 g","Euro 1,98 / kg"
66,"Esselunga Bio, olio di semi di girasole biologico 75 cl","Euro 5,32 / l"
67,"Esselunga Bio, mandorle sgusciate biologiche 125 g","Euro 27,92 / kg"
68,"Esselunga Bio, prugne d'Agen IGP intere biologiche 200 g","Euro 14,95 / kg"
69,"Esselunga Bio, Malva per infuso 16 filtri 20,8 g","Euro 128,50 / kg"
70,"Esselunga Bio, Mezze penne rigate pasta di semola di grano duro 5…","Euro 1,98 / kg"
71,"Esselunga Bio, semola di grano duro biologica 1 kg","Euro 1,89 / kg"
72,"Esselunga Bio, mandorle pelate 125 g","Euro 27,92 / kg"
73,"Esselunga Bio, brodo granulare 120 g","Euro 37,09 / kg"
74,"Esselunga Bio, farina di mais bramata 500 g","Euro 2,50 / kg"
75,"Esselunga Bio, orzo tostato macinato biologico 500 g","Euro 3,06 / kg"
76,"Esselunga Bio, Elicoidali pasta di semola di grano duro 500 g","Euro 1,98 / kg"
77,"Esselunga Bio, pizze Margherita biologiche surgelate conf. 2x300 …","Euro 9,82 / kg"
78,"Esselunga Bio, aceto di vino bianco biologico 500 ml","Euro 3,98 / l"
79,"Esselunga Bio, succo di pomodoro biologico conf. 6x125 ml","Euro 3,99 / l"
80,"Esselunga Bio, cacao amaro in polvere altromercato biologico 75 g","Euro 20,14 / kg"
81,"Esselunga Bio, succo e polpa di pesca biologico 750 ml","Euro 2,91 / l"
82,"Esselunga Bio, lenticchie giganti biologiche 500 g","Euro 5,18 / kg"
83,"Esselunga Bio, succo e polpa di pera biologico 750 ml","Euro 2,91 / l"
84,"Esselunga Bio, miele di acacia biologico 500 g","Euro 17,98 / kg"
85,"Esselunga Bio, succo e polpa di albicocca biologico 750 ml","Euro 2,91 / l"
86,"Esselunga Bio, aceto di vino rosso biologico 500 ml","Euro 3,98 / l"
87,"Esselunga Bio, sugo alle melanzane biologico 190 g","Euro 8,37 / kg"
88,"Esselunga Bio, fagioli borlotti 500 g","Euro 5,74 / kg"
89,"Esselunga Bio, grissini biologico 200 g","Euro 9,45 / kg"
90,"Esselunga Bio, succo e polpa di mela biologico 750 ml","Euro 2,91 / l"
91,"Esselunga Bio, olio extra vergine di oliva 100% italiano 750 ml","Euro 11,32 / l"
92,"Esselunga Bio, marmellata di arance biologica  360 g","Euro 7,20 / kg"
93,"Esselunga Bio, pizza alle verdure con grano kamut surgelata biolo…","Euro 9,98 / kg"
94,"Esselunga Bio, misto di legumi e cereali 500 g","Euro 4,98 / kg"
95,"Esselunga Bio, Menta piperita per infuso 16 filtri 24 g","Euro 106,25 / kg"
96,"Esselunga Bio, Melissa per infuso 16 filtri 20,8 g","Euro 127,50 / kg"
97,"Esselunga Bio, preparato per bevanda al cacao biologico 300 g","Euro 9,31 / kg"
98,"Esselunga Bio, succo e polpa di prugna biologico conf. 6x125 ml","Euro 3,99 / l"
99,"Esselunga Bio, olio per frittura biologico 1 l","Euro 4,99 / l"
