,Category,Product,Price
0,SPESA BIO,"Esselunga Bio, cipolle dorate 500 g","Euro 3,16 / kg"
1,SPESA BIO,"Esselunga Bio, datterini biologici 300 g","Euro 8,27 / kg"
2,SPESA BIO,"Esselunga Bio, Insalatina 100 g","Euro 14,80 / kg"
3,SPESA BIO,"Esselunga Bio, 6 uova fresche biologiche","Euro 0,49 / pz"
4,SPESA BIO,"Esselunga Bio, prezzemolo tritato biologico surgelato 50 g","Euro 23,00 / kg"
5,SPESA BIO,"Esselunga Bio, misto per soffritto biologico surgelato 150 g","Euro 7,67 / kg"
6,SPESA BIO,"Esselunga Bio, passata di pomodoro biologica 700 g","Euro 1,85 / kg"
7,SPESA BIO,"Esselunga Bio, farina tipo 00 di grano tenero biologica 1 kg","Euro 1,29 / kg"
8,SPESA BIO,"Esselunga Bio, misticanza biologica 125 g","Euro 15,84 / kg"
9,SPESA BIO,"Esselunga Bio, latte microfiltrato biologico parzialmente scremato 100% italiano 1 l","Euro 1,79 / l"
10,SPESA BIO,"Esselunga Bio, latte microfiltrato biologico intero 100% italiano 1 l","Euro 1,79 / l"
11,SPESA BIO,"Esselunga Bio, pomodori pelati biologici 400 g","Euro 2,48 / kg"
12,SPESA BIO,"Esselunga Bio, ceci biologici 400 g - peso netto sgocc. 240 g","Euro 4,13 / kg"
13,SPESA BIO,"Esselunga Bio, valeriana biologica 100 g","Euro 19,80 / kg"
14,SPESA BIO,"Esselunga Bio, spinaci in foglia a cubetti biologiche surgelati 750 g","Euro 4,39 / kg"
15,SPESA BIO,"Esselunga Bio, cipolla tritata biologica surgelata 150 g","Euro 7,67 / kg"
16,SPESA BIO,"Esselunga Bio, succo di mele biologico 750 ml","Euro 3,44 / l"
17,SPESA BIO,"Esselunga Bio, crescenza biologica 100 g","Euro 18,90 / kg"
18,SPESA BIO,"Esselunga Bio, yogurt intero bianco biologico conf. 2x125 g","Euro 3,96 / kg"
19,SPESA BIO,"Esselunga Bio, sorbetto al limone di Sicilia 6 pezzi biologico 390 g","Euro 6,39 / kg"
20,SPESA BIO,"Esselunga Bio, minestrone 12 verdure biologico surgelato 450 g","Euro 5,32 / kg"
21,SPESA BIO,"Esselunga Bio, lenticchie biologici 400 g - peso netto sgocc. 240 g","Euro 4,13 / kg"
22,SPESA BIO,"Esselunga Bio, yogurt intero bianco biologico 500 g","Euro 3,38 / kg"
23,SPESA BIO,"Esselunga Bio, succo e polpa di pesca biologico conf. 3x200 ml","Euro 3,07 / l"
24,SPESA BIO,"Esselunga Bio, burro biologico 250 g","Euro 15,56 / kg"
25,SPESA BIO,"Esselunga Bio, fagiolini biologici surgelati 450 g","Euro 4,65 / kg"
26,SPESA BIO,"Esselunga Bio, piadina con olio extra vergine di oliva da conservare in frigorifero 4 pezzi 300 g","Euro 8,31 / kg"
27,SPESA BIO,"Esselunga Bio, Parmigiano Reggiano DOP biologico  150 g","Euro 22,50 / kg"
28,SPESA BIO,"Esselunga Bio, pisellini primizia biologiche surgelati 750 g","Euro 4,39 / kg"
29,SPESA BIO,"Esselunga Bio, fagioli borlotti biologici 400 g - peso netto sgocc. 240 g","Euro 4,13 / kg"
30,SPESA BIO,"Esselunga Bio, basilico tritato biologico surgelato 50 g","Euro 23,00 / kg"
31,SPESA BIO,"Esselunga Bio, sugo al basilico biologico 190 g","Euro 8,37 / kg"
32,SPESA BIO,"Esselunga Bio, Crackers integrali 200 g","Euro 6,45 / kg"
33,SPESA BIO,"Esselunga Bio, formaggio fresco da spalmare biologico conf. 3x40 g","Euro 16,59 / kg"
34,SPESA BIO,"Esselunga Bio, yogurt magro 0,1% di grassi bianco biologico conf. 2x125 g","Euro 3,96 / kg"
35,SPESA BIO,"Esselunga Bio, polpa di pomodoro biologica 400 g","Euro 2,48 / kg"
36,SPESA BIO,"Esselunga Bio, Ditalini Rigati pasta di semola di grano duro biologica 500 g","Euro 1,98 / kg"
37,SPESA BIO,"Esselunga Bio, frollini con cereali e farina integrale 300 g","Euro 7,97 / kg"
38,SPESA BIO,"Esselunga Bio, farro perlato 500 g","Euro 4,28 / kg"
39,SPESA BIO,"Esselunga Bio, Altromercato zucchero di canna grezzo 500 g","Euro 4,60 / kg"
40,SPESA BIO,"Esselunga Bio, confettura extra di albicocche biologica 340 g","Euro 7,92 / kg"
41,SPESA BIO,"Esselunga Bio, fiocchi di mais 375 g","Euro 4,11 / kg"
42,SPESA BIO,"Esselunga Bio, orzo tostato solubile biologico 125 g","Euro 15,84 / kg"
43,SPESA BIO,"Esselunga Bio, pinoli sgusciati biologici 80 g","Euro 87,38 / kg"
44,SPESA BIO,"Esselunga Bio, Finocchio dolce per infuso 16 filtri 32 g","Euro 79,69 / kg"
45,SPESA BIO,"Esselunga Bio, aceto di mele biologico 75 cl","Euro 3,59 / l"
46,SPESA BIO,"Esselunga Bio, sorbetto al limone di Sicilia biologico 500 g","Euro 8,38 / kg"
47,SPESA BIO,"Esselunga Bio, patate biologiche surgelate 750 g","Euro 3,99 / kg"
48,SPESA BIO,"Esselunga Equilibrio, Tempeh conf. 2x75 g","Euro 18,61 / kg"
49,SPESA BIO,"Esselunga Bio, yogurt magro 0,1% di grassi bianco biologico 500 g","Euro 3,38 / kg"
50,SPESA BIO,"Esselunga Bio, piadina con farro da conservare in frigorifero 3 pezzi 225 g","Euro 15,96 / kg"
51,SPESA BIO,"Esselunga Bio, sugo alle verdure biologico 190 g","Euro 8,37 / kg"
52,SPESA BIO,"Esselunga Bio, Spaghetti pasta di semola di grano duro 500 g","Euro 1,98 / kg"
53,SPESA BIO,"Esselunga Bio, riso Arborio biologico 1 kg","Euro 3,99 / kg"
54,SPESA BIO,"Esselunga Bio, fiocchi di frumento integrali biologici 375 g","Euro 5,50 / kg"
55,SPESA BIO,"Esselunga Bio, camomilla setacciata 16 filtri 16 g","Euro 163,13 / kg"
56,SPESA BIO,"Esselunga Bio, caffè 100% arabica 250 g","Euro 21,24 / kg"
57,SPESA BIO,"Esselunga Bio, lenticchie rosse 500 g","Euro 5,58 / kg"
58,SPESA BIO,"Esselunga Bio, biscotti secchi assortiti 300 g","Euro 7,97 / kg"
59,SPESA BIO,"Esselunga Bio, orzo perlato biologico 500 g","Euro 3,18 / kg"
60,SPESA BIO,"Esselunga Bio, Pomodorini biologici 400 g","Euro 6,21 / kg"
61,SPESA BIO,"Esselunga Bio, ceci 500 g","Euro 4,98 / kg"
62,SPESA BIO,"Esselunga Bio, Penne Rigate pasta di semola di grano duro 500 g","Euro 1,98 / kg"
63,SPESA BIO,"Esselunga Bio, olio di semi di girasole biologico 75 cl","Euro 5,32 / l"
64,SPESA BIO,"Esselunga Bio, mandorle sgusciate biologiche 125 g","Euro 27,92 / kg"
65,SPESA BIO,"Esselunga Bio, prugne d'Agen IGP intere biologiche 200 g","Euro 14,95 / kg"
66,SPESA BIO,"Esselunga Bio, Malva per infuso 16 filtri 20,8 g","Euro 128,50 / kg"
67,SPESA BIO,"Esselunga Bio, Mezze penne rigate pasta di semola di grano duro 500 g","Euro 1,98 / kg"
68,SPESA BIO,"Esselunga Bio, semola di grano duro biologica 1 kg","Euro 1,89 / kg"
69,SPESA BIO,"Esselunga Bio, mandorle pelate 125 g","Euro 27,92 / kg"
70,SPESA BIO,"Esselunga Bio, brodo granulare 120 g","Euro 37,09 / kg"
71,SPESA BIO,"Esselunga Bio, farina di mais bramata 500 g","Euro 2,50 / kg"
72,SPESA BIO,"Esselunga Bio, orzo tostato macinato biologico 500 g","Euro 3,06 / kg"
73,SPESA BIO,"Esselunga Bio, Elicoidali pasta di semola di grano duro 500 g","Euro 1,98 / kg"
74,SPESA BIO,"Esselunga Bio, pizze Margherita biologiche surgelate conf. 2x300 g","Euro 9,82 / kg"
75,SPESA BIO,"Esselunga Bio, noci di Grenoble noci secche biologiche 500 g","Euro 5,98 / kg"
76,SPESA BIO,"Esselunga Bio, aceto di vino bianco biologico 500 ml","Euro 3,98 / l"
77,SPESA BIO,"Esselunga Bio, succo di pomodoro biologico conf. 6x125 ml","Euro 3,99 / l"
78,SPESA BIO,"Esselunga Bio, cacao amaro in polvere altromercato biologico 75 g","Euro 20,14 / kg"
79,SPESA BIO,"Esselunga Bio, succo e polpa di pesca biologico 750 ml","Euro 2,91 / l"
80,SPESA BIO,"Esselunga Bio, lenticchie giganti biologiche 500 g","Euro 5,18 / kg"
81,SPESA BIO,"Esselunga Bio, succo e polpa di pera biologico 750 ml","Euro 2,91 / l"
82,SPESA BIO,"Esselunga Bio, miele di acacia biologico 500 g","Euro 17,98 / kg"
83,SPESA BIO,"Esselunga Bio, succo e polpa di albicocca biologico 750 ml","Euro 2,91 / l"
84,SPESA BIO,"Esselunga Bio, aceto di vino rosso biologico 500 ml","Euro 3,98 / l"
85,SPESA BIO,"Esselunga Bio, sugo alle melanzane biologico 190 g","Euro 8,37 / kg"
86,SPESA BIO,"Esselunga Bio, fagioli borlotti 500 g","Euro 5,74 / kg"
87,SPESA BIO,"Esselunga Bio, grissini biologico 200 g","Euro 9,45 / kg"
88,SPESA BIO,"Esselunga Bio, succo e polpa di mela biologico 750 ml","Euro 2,91 / l"
89,SPESA BIO,"Esselunga Bio, olio extra vergine di oliva 100% italiano 750 ml","Euro 11,99 / l"
90,SPESA BIO,"Esselunga Bio, marmellata di arance biologica  360 g","Euro 7,20 / kg"
91,SPESA BIO,"Esselunga Bio, pizza alle verdure con grano kamut surgelata biologica 380 g","Euro 9,98 / kg"
92,SPESA BIO,"Esselunga Bio, misto di legumi e cereali 500 g","Euro 4,98 / kg"
93,SPESA BIO,"Esselunga Bio, Menta piperita per infuso 16 filtri 24 g","Euro 106,25 / kg"
94,SPESA BIO,"Esselunga Bio, Melissa per infuso 16 filtri 20,8 g","Euro 127,50 / kg"
95,SPESA BIO,"Esselunga Bio, preparato per bevanda al cacao biologico 300 g","Euro 9,31 / kg"
96,SPESA BIO,"Esselunga Bio, succo e polpa di prugna biologico conf. 6x125 ml","Euro 3,99 / l"
97,SPESA BIO,"Esselunga Bio, olio per frittura biologico 1 l","Euro 4,99 / l"
98,SPESA BIO,"Esselunga Bio, olio di semi di mais biologico 75 cl","Euro 6,39 / l"
99,SPESA BIO,"Esselunga Bio, fagioli cannellini 500 g","Euro 7,58 / kg"
100,SPESA BIO,"Esselunga Bio, olio extra vergine di oliva Toscano IGP 750 ml","Euro 19,32 / l"
101,SPESA BIO,"Esselunga Equilibrio, gallette mais senza glutine 120 g","Euro 13,26 / kg"
102,SPESA BIO,"Esselunga Equilibrio, gallette riso senza glutine 150 g","Euro 10,61 / kg"
103,SPESA BIO,"Esselunga Equilibrio, triangoli mais senza glutine 100 g","Euro 12,70 / kg"
104,SPESA BIO,"Esselunga Equilibrio, fette croccanti riso senza glutine conf. 10x20 g","Euro 10,45 / kg"
105,SPESA BIO,"Esselunga Equilibrio, fette croccanti mais senza glutine conf. 10x18 g","Euro 10,45 / kg"
106,SPESA BIO,"Esselunga Equilibrio, piadina di grano Kamut da conservare in frigorifero 3 pezzi 225 g","Euro 15,96 / kg"
107,SPESA BIO,"Esselunga Equilibrio, Triangoli riso senza glutine 100 g","Euro 12,70 / kg"
108,SPESA BIO,"Esselunga Equilibrio, mini gallette mais senza glutine conf. 6x20 g","Euro 14,59 / kg"
109,SPESA BIO,"Esselunga Equilibrio, minipiadina di grano Kamut da conservare in frigorifero 8 pezzi 200 g","Euro 19,95 / kg"
110,SPESA BIO,"Esselunga Bio, banane biologiche  850 g","Euro 2,98 / kg"
111,SPESA BIO,"Esselunga Bio, 10 uova fresche biologiche 10 pezzi","Euro 0,43 / pz"
112,SPESA BIO,"Esselunga Bio, misto per soffritto biologico surgelato 300 g","Euro 5,84 / kg"
113,SPESA BIO,"Esselunga Bio, zucchine biologiche  650 g","Euro 3,48 / kg"
114,SPESA BIO,"Esselunga Bio, Latte UHT a lunga conservazione intero 1 l","Euro 1,69 / l"
115,SPESA BIO,"Esselunga Bio, Latte UHT a lunga conservazione parzialmente scremato 1 l","Euro 1,69 / l"
116,SPESA BIO,"Esselunga Bio, avocado Hass biologico 300 g","Euro 10,94 / kg"
117,SPESA BIO,"Esselunga Equilibrio, bevanda vegetale soia senza zuccheri aggiunti 1 l","Euro 1,89 / l"
118,SPESA BIO,"Esselunga Bio, spinaci biologici 400 g","Euro 7,45 / kg"
119,SPESA BIO,"Esselunga, Bio Pane morbido integrale 400 g","Euro 3,95 / kg"
