Category,Product,Price,Quantity
spesa bio,"esselunga bio, cipolle dorate 500 g",3.16 € / kg,0.5 kg
spesa bio,"esselunga bio, datterini biologici 300 g",8.27 € / kg,0.3 kg
spesa bio,"esselunga bio, insalatina 100 g",14.80 € / kg,0.1 kg
spesa bio,"esselunga bio, 6 uova fresche biologiche",0.49 € / pz,6.0 pz
spesa bio,"esselunga bio, prezzemolo tritato biologico surgelato 50 g",23.00 € / kg,0.05 kg
spesa bio,"esselunga bio, misto per soffritto biologico surgelato 150 g",7.67 € / kg,0.15 kg
spesa bio,"esselunga bio, passata di pomodoro biologica 700 g",1.85 € / kg,0.7 kg
spesa bio,"esselunga bio, farina tipo 00 di grano tenero biologica 1 kg",1.29 € / kg,1.0 kg
spesa bio,"esselunga bio, misticanza biologica 125 g",15.84 € / kg,0.125 kg
spesa bio,"esselunga bio, latte microfiltrato biologico parzialmente scremato 100% italiano 1 l",1.79 € / l,1.0 l
spesa bio,"esselunga bio, latte microfiltrato biologico intero 100% italiano 1 l",1.79 € / l,1.0 l
spesa bio,"esselunga bio, pomodori pelati biologici 400 g",2.48 € / kg,0.4 kg
spesa bio,"esselunga bio, ceci biologici 400 g - peso netto sgocc. 240 g",4.13 € / kg,0.24 kg
spesa bio,"esselunga bio, valeriana biologica 100 g",19.80 € / kg,0.1 kg
spesa bio,"esselunga bio, spinaci in foglia a cubetti biologiche surgelati 750 g",4.39 € / kg,0.75 kg
spesa bio,"esselunga bio, cipolla tritata biologica surgelata 150 g",7.67 € / kg,0.15 kg
spesa bio,"esselunga bio, succo di mele biologico 750 ml",3.44 € / l,
spesa bio,"esselunga bio, crescenza biologica 100 g",18.90 € / kg,0.1 kg
spesa bio,"esselunga bio, yogurt intero bianco biologico conf. 2x125 g",3.96 € / kg,0.25 kg
spesa bio,"esselunga bio, sorbetto al limone di sicilia 6 pezzi biologico 390 g",6.39 € / kg,0.39 kg
spesa bio,"esselunga bio, minestrone 12 verdure biologico surgelato 450 g",5.32 € / kg,0.45 kg
spesa bio,"esselunga bio, lenticchie biologici 400 g - peso netto sgocc. 240 g",4.13 € / kg,0.24 kg
